economy,AFG,AFG,AFG,AFG,AUS,AUS,AUS,AUS,BGR,BGR,BGR,BGR,CHE,CHE,CHE,CHE,CHL,CHL,CHL,CHL,ESP,ESP,ESP,ESP,GBR,GBR,GBR,GBR,IND,IND,IND,IND,LUX,LUX,LUX,LUX,PAK,PAK,PAK,PAK
YR1989,480.377,,,,30370.094,,,,11030.336,,,,3490.984,,,,3256.296,,,,10131.921,,,,104795.526,,,,18533.018,,,,927.751,,,,20967.906,,,
YR1990,403.37,99.9583192746398,,,33875.746,0.0,296371478762.324,,11122.011,8.81083310710187,65797993934.2371,,3736.673,0.0,191193236430.017,,2614.571,1.316169457907,59789059112.4313,,11382.368,0.0,531637946204.733,,108110.494,0.0,978052039034.836,,21114.586,86.5228976924097,1048721458860.23,,982.756,0.0,11430049743.5083,,23135.103,99.8007939364211,206931869505.851,
YR1991,388.702,,,,31719.55,,308043662757.573,,9515.865,,62278330670.8929,,4195.048,,195848715687.21,1.23000001907349,2200.2,,66729735171.1657,,12823.499,,563609757928.199,,116529.926,,999973764743.828,,23582.477,,1095644743985.09,,1023.093,,12838039432.7905,,24004.182,,224758014287.681,
YR1992,363.033,,,,32848.986,,318664389750.262,,8379.095,,59065261509.0793,,4411.401,,200224296291.477,2.33999991416931,2614.571,,77021084269.3156,,13410.219,,581810563642.031,,116152.225,,1026864349167.79,,27278.813,,1182049975428.68,,1067.097,,13369544209.4954,,25536.988,,247594369490.066,
YR1993,352.032,,,,34180.107,,338491267934.472,,7832.712,,59570292368.5683,,4627.754,,204712100849.822,2.25999999046326,2449.556,,85199851653.6722,,13153.529,,589457426073.888,,132331.029,,1077378125266.4,,27018.456,,1267556224161.08,,1107.434,,14261367919.9476,,26970.785,,257918440389.365,
YR1994,337.364,,,,35712.913,,358779336153.12,,7715.368,,61948491622.9964,,4561.748,,211738482724.215,3.15000009536743,2632.906,,92908933315.4046,,14422.311,,616392917388.776,,137919.537,,1142705552394.99,,29024.305,,1380831944079.4,10.0100002288818,1118.435,,15122449442.0445,,28562.263,,273271419641.008,
YR1995,322.696,99.9596668377058,,,38345.819,0.0,378130489660.551,2.44000005722046,9446.192,5.12408292165938,65053238123.5232,,5027.457,0.0,217217870076.852,2.11999988555908,2618.238,3.85618469927135,105559120796.178,,17685.941,0.0,646671646233.594,,149144.224,0.0,1196203454463.89,,39082.886,87.0687395293237,1516570791568.9,,1276.116,0.0,15660682025.1114,,28133.224,99.7913084092624,292847411431.705,
YR1996,308.028,,,,38496.166,,403005180162.152,,10711.307,,57260138653.6366,,5441.828,,223004397318.791,,2684.244,,116683584095.731,,19794.466,,677135066301.249,,173977.148,,1277865584378.25,,39779.616,,1660928910357.75,,1400.794,,16449037909.2476,,30428.766,,312662312144.962,
YR1997,282.359,,,,38767.524,,425381557676.043,4.07999992370605,8474.437,,47798043632.7839,,5254.811,,232310959374.429,,4532.412,,127512263215.29,,25900.021,,717538138403.714,,174567.535,,1344183204641.92,,46061.187,,1759096527697.86,,1433.797,,17820582220.3094,,32243.931,,321481581867.596,
YR1998,264.024,,,,40344.334,,453005215189.055,3.63000011444092,7165.318,,51007564201.2472,,5408.825,,241065489560.29,2.98000001907349,6446.586,,134523911453.414,4.05000019073486,26589.417,,768132861026.99,15.2700004577637,181802.526,,1385181063752.15,3.99000000953674,47634.33,,1888909813756.38,,1448.465,,18800386977.9634,,32408.946,,333390732364.445,
YR1999,242.022,,,,42049.489,,478757083927.676,,6153.226,,47685758137.2379,,5603.176,,248740021832.269,1.85000002384186,9039.155,,135857469922.426,,30436.1,,805891424628.996,12.7600002288818,192840.196,,1435578291557.54,2.9300000667572,42350.183,,2085682732543.69,,1503.47,,21456887315.5603,,34502.803,,350582963621.084,
YR2000,223.687,99.9667092095625,,,44147.013,0.0,504548948084.348,3.65000009536743,6714.277,2.94858826039928,52468510708.6717,6.69999980926514,5573.84,0.0,264184231312.542,1.3400000333786,11928.751,9.59878439564266,146336489247.979,3.21000003814697,34858.502,0.0,875626967403.777,10.8500003814697,200174.196,0.0,1559014038932.06,2.45000004768372,43908.658,88.0965772914953,2214209383960.06,10.3100004196167,1536.473,0.0,24047659001.9595,,36398.642,99.8396047331239,373689170142.36,
YR2001,209.019,,,,46519.562,,532689376829.179,3.35999989509583,6274.237,,55735446319.015,8.84000015258789,5801.194,,273987586086.831,1.46000003814697,13527.563,,154575763031.64,,37561.081,,937483533692.906,7.82000017166138,198454.373,,1643950757324.93,2.21000003814697,43604.297,,2371931984607.47,,1708.822,,24780691932.436,1.41999995708466,37887.444,,395459580240.132,
YR2002,546.383,,19821201272.7123,,49134.133,,565345793833.1,3.46000003814697,5507.834,,61023649905.0158,8.22999954223633,5694.851,,282753110962.942,2.21000003814697,13516.562,,161862285225.401,,42947.904,,1009753311276.12,8.6899995803833,196635.541,,1725432214728.13,2.60999989509583,47172.288,,2501105223095.37,,2442.222,,26135003699.075,1.72000002861023,44807.073,,411791177796.273,9.35999965667725
YR2003,465.709,,21972474901.6777,,46985.271,,593030336171.961,3.59999990463257,5727.854,,65444800367.9274,6.78000020980835,6017.547,,285053270982.814,2.99000000953674,14748.674,,171809556829.71,4.48000001907349,48906.779,,1056636426855.48,8.23999977111816,196697.88,,1810619102773.76,2.50999999046326,50028.881,,2747800522348.92,,2471.558,,27186564944.0508,4.28999996185303,54957.329,,443669638569.24,
YR2004,227.354,,22883102406.9713,,47080.613,,632150539681.331,3.25,5709.519,,71006719143.5679,5.78999996185303,6208.231,,298070936029.308,2.71000003814697,16061.46,,189140716087.794,,57652.574,,1122134235110.56,8.27000045776367,200980.936,,1923117182945.43,2.34999990463257,49625.511,,3045344755474.08,,2739.249,,29635355253.5302,3.91000008583069,60828.196,,489998729726.518,10.0100002288818
YR2005,330.03,99.931335517772,26245649893.4599,,43453.95,0.0,665959595377.554,3.01999998092651,6420.917,2.36871514851381,78821833750.4599,4.30999994277954,6373.246,0.0,310493723866.738,2.79999995231628,15570.082,2.12622777124453,206274402670.254,,68352.88,0.0,1205129771230.45,6.73000001907349,195759.128,0.0,1977979675503.34,2.55999994277954,50479.922,89.2230023828954,3389017492184.65,8.72000026702881,2695.245,0.0,31997220939.5338,3.50999999046326,63549.11,99.6847717855223,538198810114.935,
YR2006,330.03,,28488533288.0223,,52951.48,,711378945253.441,2.30999994277954,6644.604,,86713356360.4246,3.97000002861023,6197.23,,348024846014.13,2.42000007629395,14345.304,,257648250742.035,5.82000017166138,71535.836,,1363895505008.85,5.98999977111816,185660.21,,2120243450344.37,2.74000000953674,49482.498,,3773022708578.03,,2816.256,,37280877634.8846,3.07999992370605,63809.467,,587194838999.05,1.32000005245209
YR2007,308.028,,33298540656.4323,,60696.184,,762287051079.707,2.36999988555908,6893.96,,96666032169.8802,2.4300000667572,6035.882,,386678345599.465,2.19000005722046,8771.464,,280051852457.172,7.05000019073486,72793.617,,1468493057167.43,5.25,187724.731,,2188923620951.47,2.52999997138977,52738.794,,4171185449753.47,,2629.239,,40852146365.7102,3.23000001907349,65004.909,,632108897413.246,0.939999997615814
YR2008,297.027,,35278625599.7927,,65488.953,,796834909433.138,2.47000002861023,6673.94,,107411216119.713,2.28999996185303,6428.251,,413714805073.377,1.89999997615814,4829.439,,275716447509.868,,79955.268,,1528583945708.69,6.30999994277954,194446.342,,2278427398954.81,2.79999995231628,63098.069,,4383576794711.13,,2504.561,,44452842913.4099,2.47000002861023,65807.982,,655368177071.174,1.07000005245209
YR2009,271.358,,43151385722.0354,,67172.106,,873780713946.532,3.65000009536743,4950.45,,105570797722.546,2.90000009536743,6171.561,,413164395107.145,2.74000000953674,6384.247,,272874099668.821,6.51000022888184,71513.834,,1487896577201.85,9.64999961853027,178879.927,,2192898204975.82,3.96000003814697,91245.961,,4764254227921.92,,2548.565,,43245323115.5974,4.17999982833862,67043.761,,679063640412.278,1.4099999666214
YR2010,271.358,99.9746344313873,49924017476.7623,,65136.921,0.0,866655535725.333,3.01999998092651,5269.479,2.3042528954796,110612181615.067,4.55999994277954,6893.96,0.0,429262364074.643,3.09999990463257,10234.597,2.53444381285989,309886433252.551,5.75,71297.481,0.0,1475682464741.84,11.1499996185303,194259.325,0.0,2295779381211.35,4.05999994277954,100318.119,90.0830299815049,5229333741119.76,7.44000005722046,2739.249,0.0,45809177021.6867,3.75,74869.139,99.8182922055447,698014005409.983,2.25999999046326
YR2011,308.028,99.9934702173874,51184181904.4289,,68525.229,0.0,938351559046.28,3.16000008583069,6024.881,3.12760302284407,115714748426.258,5.11999988555908,6112.889,0.0,458820195091.514,2.96000003814697,10458.284,14.2533008698748,350575241993.779,5.80000019073486,66273.691,0.0,1489595017146.76,12.4799995422363,161109.645,0.0,2364569465138.54,4.30999994277954,91443.979,90.4701283200614,5618380734786.9,,2365.215,0.0,48970848492.8168,3.61999988555908,79339.212,99.8386429699699,732179845261.482,2.07999992370605
YR2012,308.028,99.9085935266891,59667003515.1962,,65430.281,0.0,973825980527.428,3.02999997138977,5614.177,2.31050995112519,119289608551.244,5.82999992370605,6703.276,0.0,479280657897.069,3.02999997138977,9816.559,1.8656894917915,374241571983.126,5.42000007629395,65444.949,0.0,1483646917303.62,14.8900003433228,152044.821,0.0,2453351747492.28,4.28999996185303,78151.104,88.6927083313576,6153155415797.75,8.36999988555908,2405.552,0.0,51308724180.9019,3.59999990463257,76669.636,99.6599207463912,752628769386.646,
YR2013,297.027,99.8562187902678,65039839448.5561,,69313.634,0.0,1061730067174.66,3.42000007629395,5493.166,0.102271877700189,120942415882.877,6.42999982833862,7058.975,0.0,503360260789.332,3.36999988555908,9299.512,1.64440429285265,394291936706.683,4.8600001335144,59922.447,0.0,1512074688796.68,15.9799995422363,150666.029,0.0,2579158803764.99,3.9300000667572,101883.928,88.6858457573707,6477517561942.86,,2038.852,0.0,54838614516.1038,3.88000011444092,75994.908,99.7016128639799,784863469118.625,8.60999965667725
YR2014,271.358,99.7213348087994,69058343420.1602,7.8600001335144,72606.6,0.0,1100561174645.73,3.73000001907349,5412.492,0.109959389851821,127263488552.679,5.09999990463257,6116.556,0.0,524917052399.004,3.4300000667572,8302.088,0.729628810279381,404667282590.131,5.17999982833862,54201.927,0.0,1558305994181.4,14.75,137281.479,0.0,2686202472925.53,3.17000007629395,92694.426,88.3322007917916,6781021982581.72,,1932.509,0.0,58578323745.8406,3.91000008583069,74671.121,99.6058149598559,827826438336.329,7.01000022888184
YR2015,282.359,99.8345704823674,71831696727.8086,,73809.376,0.0,1101456818288.23,3.54999995231628,5944.207,0.109980365008411,132017089872.021,3.95000004768372,6530.927,0.0,546805476343.839,3.51999998092651,9119.829,0.717982534501393,407878247566.737,5.07999992370605,56200.442,0.0,1621069891987.84,13.1899995803833,141322.513,0.0,2794324172515.81,2.94000005722046,98994.332,87.1047685537071,7159798324012.18,,1760.16,0.0,61437308583.9496,4.73000001907349,75474.194,99.5492912250785,872096952150.657,16.7900009155273
YR2016,319.029,99.6378371534564,70097956089.2877,,79122.859,0.0,1143148737101.39,3.46000003814697,6153.226,0.109388684701661,143086580996.863,3.36999988555908,6864.624,0.0,570267482220.765,3.3199999332428,9959.572,0.374841130014814,426776809813.152,5.88000011444092,57348.213,0.0,1733214656948.48,11.6700000762939,158960.783,0.0,2928593108075.34,2.92000007629395,95829.711,84.446709031019,7735001687457.93,,1624.481,0.0,65980119592.3436,3.98000001907349,74982.816,99.6406697768609,898015616788.999,
YR2017,,99.6629497098259,74711922906.3738,15.460000038147,,0.0,1190694343959.24,3.30999994277954,,0.108280911899017,151920196034.544,3.02999997138977,,0.0,584052319305.968,3.74000000953674,,0.292123405507061,451984540685.83,7.01000022888184,,0.0,1841780549395.31,9.97000026702881,,0.0,3063306948134.75,2.75999999046326,,84.7557712206317,8276934253114.33,,,0.0,68570197215.6406,3.84999990463257,,99.6142371657863,950381922984.568,
YR2018,,,77415569869.8162,,,,1253361153370.88,,,,161687275972.956,2.30999994277954,,,610138577242.876,3.48000001907349,,,481604385837.929,7.01999998092651,,,1904499539409.75,8.90999984741211,,,3161750378791.18,2.50999999046326,,,9029375940711.86,15.2600002288818,,,71109228076.0453,4.25,,,1030000452685.18,7.15000009536743
YR2019,,,81879802965.493,,,,1312636660762.97,,,,170889592876.083,1.9099999666214,,,617711114452.177,3.25,,,481296362634.805,6.80999994277954,,,1965293955067.71,8.60999965667725,,,3277751294222.3,2.48000001907349,,,9562005607605.22,15.1099996566772,,,72752104681.8145,3.64000010490417,,,1060388933616.92,10.8999996185303
YR2020,,,80918342084.7864,14.3800001144409,,,1369884973053.42,,,,170328972858.999,2.46000003814697,,,619632654690.619,3.50999999046326,,,480011057804.56,9.38000011444092,,,1788269872312.89,10.2200002670288,,,3124359205095.01,,,,8975476834845.41,15.6800003051758,,,74292443521.0431,4.65000009536743,,,1063130450790.48,
